album title,song title,song id,year
The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991,Someone's Got a Hold of My Heart,201061,1991
Planet Waves,Something There Is About You,199564,1974
N/A,Something There Is About You,199564,N/A
Empire Burlesque,"Something's Burning, Baby",199978,1985
N/A,"Something's Burning, Baby",199978,N/A
Triplicate,Somewhere Along the Way,3030353,2017
N/A,Somewhere Along the Way,3030353,N/A
N/A,Song to Woody,108097,N/A
The Bootleg Series Vol. 7: No Direction Home: The Soundtrack,Song to Woody,108097,2005
Bob Dylan,Song to Woody,108097,1962
Tempest,Soon after Midnight,83598,2012
N/A,Soon after Midnight,83598,N/A
Another Side of Bob Dylan,Spanish Harlem Incident,117535,1964
N/A,Spanish Harlem Incident,117535,N/A
"The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall",Spanish Harlem Incident,117535,2004
Dylan (1973),Spanish Is the Loving Tongue,199633,1973
N/A,Spanish Is the Loving Tongue,199633,N/A
The Bootleg Series Vol. 10: Another Self Portrait (1969-1971),Spanish Is the Loving Tongue,199633,2013
"The Bootleg Series Vol. 14: More Blood, More Tracks",Spanish is the Loving Tongue (9/17/74 Take 1),4124384,2018
N/A,Spirit on the Water,201545,N/A
Modern Times,Spirit on the Water,201545,2006
N/A,Stack A Lee,200932,N/A
World Gone Wrong,Stack A Lee,200932,1993
N/A,Stage Fright,1176563,N/A
N/A,Standing in the Doorway,124176,N/A
Time Out of Mind,Standing in the Doorway,124176,1997
N/A,Standing on the Highway,201782,N/A
"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964",Standing on the Highway,201782,2010
Triplicate,Stardust,3018731,2017
N/A,Stardust,3018731,N/A
Shadows in the Night,Stay with Me,691973,2015
N/A,Stay with Me,691973,N/A
N/A,Stealin',904057,N/A
N/A,Step It Up and Go,200851,N/A
Good as I Been to You,Step It Up and Go,200851,1992
N/A,Stormy Weather,2975352,N/A
Triplicate,Stormy Weather,2975352,2017
N/A,Stuck Inside of Mobile with the Memphis Blues Again,105718,N/A
The Bootleg Series Vol. 7: No Direction Home: The Soundtrack,Stuck Inside of Mobile with the Memphis Blues Again,105718,2005
Blonde on Blonde,Stuck Inside of Mobile with the Memphis Blues Again,105718,1966
The Bootleg Series Vol. 12: The Cutting Edge 1965-1966,Stuck Inside of Mobile with the Memphis Blues Again,105718,2015
Bob Dylan's Greatest Hits Vol. II ,Stuck Inside of Mobile with the Memphis Blues Again,105718,1971
The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition),Stuck Inside of Mobile with the Memphis Blues Again (Take 13),6223060,2016
N/A,Stuck Inside of Mobile with the Memphis Blues Again [Hard Rain],4853916,N/A
Hard Rain,Stuck Inside of Mobile with the Memphis Blues Again [Hard Rain],4853916,1976
The Essential Bob Dylan,Subterranean Homesick Blues,224,2000
The Bootleg Series Vol. 12: The Cutting Edge 1965-1966,Subterranean Homesick Blues,224,2015
Biograph,Subterranean Homesick Blues,224,1985
N/A,Subterranean Homesick Blues,224,N/A
Bringing It All Back Home,Subterranean Homesick Blues,224,1965
Bob Dylan's Greatest Hits,Subterranean Homesick Blues,224,1967
The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991,Subterranean Homesick Blues,224,1991
N/A,Subterranean Homesick Blues (Take 1),6222985,N/A
